  137  NGC6809     M55          294.999  -30.965    5.4   174.40  0.24   -3.420   -9.269  0.050  0.050   0.010    8.8   4224  NGC6809   V18               
  138  TERZAN8     na           295.435  -33.999   26.3   148.53  0.17   -2.472   -1.556  0.062  0.060  -0.006    2.7    251  TERZAN8   V18               
  139  PAL11       na           296.310  -08.007   13.4   -67.64  0.76   -1.821   -4.934  0.066  0.064   0.027    1.8    174  PAL11     V18               
  140  NGC6838     M71          298.444  +18.779    4.0   -22.27  0.19   -3.415   -2.614  0.054  0.054   0.005    5.1   2676  NGC6838   V18               
  141  NGC6864     M75          301.520  -21.921   20.9  -189.08  1.12   -0.559   -2.798  0.062  0.061   0.009    2.8    224  NGC6864   V18               
  142  NGC6934     na           308.547  +07.404   15.6  -406.22  0.73   -2.636   -4.667  0.060  0.060   0.009    4.0    336  NGC6934   V18               
  143  NGC6981     M72          313.365  -12.537   17.0  -331.39  1.47   -1.233   -3.290  0.062  0.061   0.016    3.0    350  NGC6981   V18               
  144  NGC7006     na           315.372  +16.187   41.2  -383.47  0.73   -0.102   -0.569  0.067  0.068  -0.013    2.0    137  NGC7006   V18               
  145  NGC7078     M15          322.493  +12.167   10.4  -106.76  0.25   -0.643   -3.763  0.051  0.051   0.001    9.9   2198  NGC7078   V18               
  146  NGC7089     M2           323.363  -00.823   11.5    -3.72  0.34    3.518   -2.145  0.054  0.054   0.013    6.2   1369  NGC7089   V18               
  147  NGC7099     M30          325.092  -23.180    8.1  -185.19  0.17   -0.694   -7.271  0.055  0.054   0.031    5.8   1414  NGC7099   V18               
  148  PAL12       na           326.662  -21.253   19.0    27.91  0.28   -3.249   -3.303  0.067  0.067   0.034    1.5     99  PAL12     V18               
  149  PAL13       na           346.685  +12.772   26.0    25.87  0.27    1.615    0.142  0.101  0.089   0.016    0.8     34  PAL13     V18               
  150  NGC7492     na           347.111  -15.611   26.3  -176.70  0.27    0.799   -2.273  0.065  0.064   0.009    1.5    125  NGC7492   V18               
  151  GD1         na           148.936399866880 36.15980426805254 7.555339165941959 6.944006091929623 0.0 -5.332929760383195 -12.198914465325117 0. 0. 0. 0. 0. GD1 WebbBovy2019
  152  PAL5OLD     na           229.018  -0.124    23.2   -58.7   0.     -2.296   -2.257 0. 0. 0. 0. 0. PAL5OLD BOVY?
  153  SAGITTARIUS SAG          283.89235338593664 -30.465956694956187 26.119915773217958 139.63100155704194 0. -2.6911352471640417 -1.361779127536811 0. 0. 0. 0. 0. SAGITTARIUS Helmi2018
